ID,Name,Team,Region,Position,Cost,Predicted_Points,xMins,Opponent,Score,Assist,Goal_Involvement,Clean_Sheet,Projected_Goals
594,Mazraoui,Man Utd,145,Defender,4.6,2.97,65,Brentford (H),0.054,0.047,0.098,0.357,0.069
597,Lewis-Skelly,Arsenal,241,Midfielder,4.5,0.0,0,Bournemouth (A),0.0,0.0,0.0,0.0,0.0
598,Bogarde,Aston Villa,152,Defender,4.0,0.28,17,Fulham (A),0.014,0.012,0.025,0.069,0.018
599,Dennis,Bournemouth,241,Goalkeeper,4.0,0.0,0,Arsenal (H),0.0,0.0,0.0,0.0,0.0
600,Ayari,Brighton,206,Midfielder,5.0,1.4,49,Newcastle (A),0.086,0.032,0.115,0.125,0.097
602,Trevitt,Brentford,241,Midfielder,4.5,0.0,0,Man Utd (A),0.0,0.0,0.0,0.0,0.0
603,Armstrong,Everton,241,Midfielder,4.5,0.0,0,Ipswich (A),0.0,0.0,0.0,0.0,0.0
604,King,Fulham,241,Midfielder,4.5,0.0,0,Aston Villa (H),0.0,0.0,0.0,0.0,0.0
605,Godo,Fulham,241,Midfielder,4.5,0.0,0,Aston Villa (H),0.0,0.0,0.0,0.0,0.0
606,Alves,Leicester,241,Midfielder,4.5,0.0,0,Southampton (A),0.0,0.0,0.0,0.0,0.0
608,Dibling,Southampton,241,Midfielder,4.6,2.91,69,Leicester (H),0.048,0.042,0.088,0.268,0.062
609,Lankshear,Spurs,241,Forward,4.5,0.0,0,West Ham (H),0.0,0.0,0.0,0.0,0.0
610,Moore,Spurs,241,Midfielder,4.5,0.0,0,West Ham (H),0.0,0.0,0.0,0.0,0.0
613,Collyer,Man Utd,241,Midfielder,4.5,0.0,0,Brentford (H),0.0,0.0,0.0,0.0,0.0
